steps,date,interval
NA,2012/10/1,0
NA,2012/10/1,5
NA,2012/10/1,10
NA,2012/10/1,15
NA,2012/10/1,20
NA,2012/10/1,25
NA,2012/10/1,30
NA,2012/10/1,35
NA,2012/10/1,40
NA,2012/10/1,45
NA,2012/10/1,50
NA,2012/10/1,55
NA,2012/10/1,100
NA,2012/10/1,105
NA,2012/10/1,110
NA,2012/10/1,115
NA,2012/10/1,120
NA,2012/10/1,125
NA,2012/10/1,130
NA,2012/10/1,135
NA,2012/10/1,140
NA,2012/10/1,145
NA,2012/10/1,150
NA,2012/10/1,155
NA,2012/10/1,200
NA,2012/10/1,205
NA,2012/10/1,210
NA,2012/10/1,215
NA,2012/10/1,220
NA,2012/10/1,225
NA,2012/10/1,230
NA,2012/10/1,235
NA,2012/10/1,240
NA,2012/10/1,245
NA,2012/10/1,250
NA,2012/10/1,255
NA,2012/10/1,300
NA,2012/10/1,305
NA,2012/10/1,310
NA,2012/10/1,315
NA,2012/10/1,320
NA,2012/10/1,325
NA,2012/10/1,330
NA,2012/10/1,335
NA,2012/10/1,340
NA,2012/10/1,345
NA,2012/10/1,350
NA,2012/10/1,355
NA,2012/10/1,400
NA,2012/10/1,405
NA,2012/10/1,410
NA,2012/10/1,415
NA,2012/10/1,420
NA,2012/10/1,425
NA,2012/10/1,430
NA,2012/10/1,435
NA,2012/10/1,440
NA,2012/10/1,445
NA,2012/10/1,450
NA,2012/10/1,455
NA,2012/10/1,500
NA,2012/10/1,505
NA,2012/10/1,510
NA,2012/10/1,515
NA,2012/10/1,520
NA,2012/10/1,525
NA,2012/10/1,530
NA,2012/10/1,535
NA,2012/10/1,540
NA,2012/10/1,545
NA,2012/10/1,550
NA,2012/10/1,555
NA,2012/10/1,600
NA,2012/10/1,605
NA,2012/10/1,610
NA,2012/10/1,615
NA,2012/10/1,620
NA,2012/10/1,625
NA,2012/10/1,630
NA,2012/10/1,635
NA,2012/10/1,640
NA,2012/10/1,645
NA,2012/10/1,650
NA,2012/10/1,655
NA,2012/10/1,700
NA,2012/10/1,705
NA,2012/10/1,710
NA,2012/10/1,715
NA,2012/10/1,720
NA,2012/10/1,725
NA,2012/10/1,730
NA,2012/10/1,735
NA,2012/10/1,740
NA,2012/10/1,745
NA,2012/10/1,750
NA,2012/10/1,755
NA,2012/10/1,800
NA,2012/10/1,805
NA,2012/10/1,810
NA,2012/10/1,815
NA,2012/10/1,820
NA,2012/10/1,825
NA,2012/10/1,830
NA,2012/10/1,835
NA,2012/10/1,840
NA,2012/10/1,845
NA,2012/10/1,850
NA,2012/10/1,855
NA,2012/10/1,900
NA,2012/10/1,905
NA,2012/10/1,910
NA,2012/10/1,915
NA,2012/10/1,920
NA,2012/10/1,925
NA,2012/10/1,930
NA,2012/10/1,935
NA,2012/10/1,940
NA,2012/10/1,945
NA,2012/10/1,950
NA,2012/10/1,955
NA,2012/10/1,1000
NA,2012/10/1,1005
NA,2012/10/1,1010
NA,2012/10/1,1015
NA,2012/10/1,1020
NA,2012/10/1,1025
NA,2012/10/1,1030
NA,2012/10/1,1035
NA,2012/10/1,1040
NA,2012/10/1,1045
NA,2012/10/1,1050
NA,2012/10/1,1055
